Id,date,sessions_per_day,energy_per_day_kWh,avg_duration_min,avg_power_kW_day,dow,is_weekend,month,year,week,CH_SPEED,CH_TYPE,CON_TYPE,CP_CHARGE,USAGE_,OUTPUT1_kW,OUTPUT2_kW,lon,lat
50245,2018-11-20,3,30.191,136,11.088526561936774,Di,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-21,7,58.86,21.857142857142858,22.450696107205424,Mi,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-22,4,36.870000000000005,19.5,29.95048387096774,Do,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-23,3,40.94,30,27.230050505050507,Fr,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-24,4,107.02,49.25,33.9862908496732,Sa,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-25,4,51,30.75,25.770124668435013,So,FALSE,Nov,2018,47,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-26,12,88.152,30.083333333333332,19.568256606462754,Mo,FALSE,Nov,2018,48,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-27,7,70.08,21.285714285714285,30.047592275619927,Di,FALSE,Nov,2018,48,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-28,3,24.65,30.333333333333332,19.822420634920636,Mi,FALSE,Nov,2018,48,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-29,2,22.990000000000002,42,20.165,Do,FALSE,Nov,2018,48,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-11-30,7,56.205,16,30.971128232669585,Fr,FALSE,Nov,2018,48,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-09,3,15.915,34.666666666666664,10.804363636363636,So,FALSE,Dez,2018,49,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-10,4,43.550000000000004,21.25,31.734765395894428,Mo,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-11,3,23.36,15,33.00168831168831,Di,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-12,7,58.15,21,22.195079641612743,Mi,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-13,5,47.15,38.2,19.59330909090909,Do,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-14,6,50.38,34.666666666666664,14.337886899789154,Fr,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-15,2,32.9,54.5,18.82734693877551,Sa,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-16,3,31.25,21.333333333333332,27.87643948296122,So,FALSE,Dez,2018,50,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-17,4,109.99,41.5,38.398736020503264,Mo,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-18,5,67.30199999999999,24.4,29.390258178603005,Di,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-19,3,39.85,26,33.33764705882353,Mi,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-20,3,44.67,30,32.521871635610765,Do,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-21,2,29.02,33,24.22747252747253,Fr,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-22,2,15.036,39,11.551404087013843,Sa,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-23,1,8.81,56,9.439285714285715,So,FALSE,Dez,2018,51,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
50245,2018-12-24,3,27.59,27.666666666666668,19.699261083743842,Mo,FALSE,Dez,2018,52,RAPID,COMPACT TRI RAPID,TYPE 2;CHAdeMO;CCS,FREE,PUBLIC,50,43,-3.4789022684981297,56.38633826478946
